x (m),y (m)
1.725347044,0.4454818378
1.733316116,0.4519814968
1.74128259,0.4584836931
1.749249091,0.4649858624
1.757215619,0.4714880041
1.765182172,0.4779901181
1.773148751,0.4844922041
1.781115355,0.490994262
1.789081983,0.4974962916
1.797048636,0.5039982927
1.805015314,0.5105002653
1.812982015,0.5170022094
1.820948741,0.5235041248
1.828915491,0.5300060115
1.836882264,0.5365078695
1.844849062,0.5430096987
1.852815883,0.5495114991
1.860782728,0.5560132707
1.868749597,0.5625150134
1.87671649,0.5690167273
1.884683406,0.5755184123
1.892650346,0.5820200685
1.900617309,0.5885216957
1.908584296,0.5950232941
1.916551307,0.6015248636
1.924523144,0.6080296464
1.932492688,0.6145287315
1.940459632,0.6210303521
1.948426603,0.6275319456
1.956393601,0.6340335116
1.964360624,0.6405350498
1.972327673,0.64703656
1.980294747,0.653538042
1.988261846,0.6600394957
1.996228969,0.666540921
2.004196116,0.6730423177
2.012163288,0.6795436858
2.020130484,0.6860450253
2.028097704,0.692546336
2.036064947,0.699047618
2.044032215,0.7055488711
2.051999507,0.7120500955
2.059966822,0.718551291
2.067934161,0.7250524577
2.075901524,0.7315535955
2.08386891,0.7380547044
2.09183632,0.7445557844
2.099803754,0.7510568355
2.107771211,0.7575578576
2.115738692,0.7640588509
2.123711,0.7705630594
2.131681016,0.7770615701
2.13964843,0.7835626144
2.147615872,0.7900636316
2.15558334,0.7965646213
2.163550834,0.8030655831
2.171518353,0.8095665169
2.179485897,0.8160674225
2.187453466,0.8225682998
2.19542106,0.8290691486
2.203388678,0.8355699689
2.21135632,0.8420707605
2.219323987,0.8485715234
2.227291677,0.8550722576
2.235259391,0.861572963
2.243227129,0.8680736396
2.251194891,0.8745742874
2.259162677,0.8810749063
2.267130487,0.8875754963
2.27509832,0.8940760574
2.283066177,0.9005765896
2.291034058,0.9070770929
2.299001963,0.9135775672
2.306969891,0.9200780127
2.314937843,0.9265784291
2.322910621,0.9330820629
2.330881109,0.9395799986
2.338848994,0.946080466
2.346816907,0.9525809063
2.354784846,0.9590813191
