x,y,lb,rb
2.021040926574562,-0.2542872444123495,0.9899494936611666,0.9899494936611666
2.113334151736582,-0.43173971227388425,0.9486832980505139,0.9486832980505139
2.179912245062031,-0.6206016839717652,0.9192388155425117,0.9192388155425117
2.235755073017783,-0.8132763974711364,0.912414379544733,0.912414379544733
2.291102774002859,-1.006171117856793,0.912414379544733,0.912414379544733
2.346826300779474,-1.1989647727692498,0.9178779875342911,0.9178779875342911
2.406661769084046,-1.390509464022678,0.9340770846134703,0.9340770846134703
2.474569082179832,-1.5793507916293352,0.9178779875342911,0.9178779875342911
2.546479238283954,-1.7667092313830257,0.8860022573334675,0.8860022573334675
2.621334951272026,-1.9529118958164478,0.9013878188659974,0.9013878188659974
2.698484670666545,-2.138175980907119,0.894427190999916,0.894427190999916
2.777337605275193,-2.322721898346338,0.9178779875342911,0.9178779875342911
2.857324403952157,-2.506779495560239,0.9340770846134703,0.9340770846134703
2.93796470146832,-2.6905518656965084,0.9178779875342911,0.9178779875342911
3.01858937428581,-2.8743310173065515,0.9192388155425117,0.9192388155425117
3.098927711601101,-3.0582355494212,0.894427190999916,0.894427190999916
3.178560960402642,-3.242446398231457,0.9192388155425117,0.9192388155425117
3.257028272516132,-3.427156998413254,0.9192388155425117,0.9192388155425117
3.334416292436865,-3.612321971629068,0.9178779875342911,0.9178779875342911
3.410252471651223,-3.7981277175168047,0.9178779875342911,0.9178779875342911
3.484140123629592,-3.9847167961979983,0.9192388155425117,0.9192388155425117
3.556047402563511,-4.1720775029752835,0.9192388155425117,0.9192388155425117
3.625530355513007,-4.3603504090848935,0.9192388155425117,0.9192388155425117
3.69241020293709,-4.549563640293476,0.9178779875342911,0.9178779875342911
3.756793724150722,-4.7396413675762155,0.9340770846134703,0.9340770846134703
3.818678388633497,-4.930546244479603,0.9013878188659974,0.9013878188659974
3.877999683064482,-5.122263786682329,0.8860022573334675,0.8860022573334675
3.934882077988064,-5.314719114017735,0.8860022573334675,0.8860022573334675
3.989380112218786,-5.507863230949488,0.8860022573334675,0.8860022573334675
4.04155268003314,-5.7016485240198,0.8860022573334675,0.8860022573334675
4.091547033204971,-5.896007380709642,0.9055385138137417,0.9055385138137417
4.139595470245226,-6.090856619098915,0.912414379544733,0.912414379544733
4.185930936658389,-6.286120469090163,0.912414379544733,0.912414379544733
4.23072393668448,-6.481744148356937,0.9219544457292888,0.9219544457292888
4.274304682569781,-6.677641492838168,0.9219544457292888,0.9219544457292888
4.316861405269618,-6.873763922897049,0.9340770846134703,0.9340770846134703
4.358531490825682,-7.070076822449628,0.9219544457292888,0.9219544457292888
4.399734942414634,-7.266488160201696,0.9013878188659974,0.9013878188659974
4.440512277703254,-7.462988433019881,0.9013878188659974,0.9013878188659974
4.481234025122083,-7.659500237076202,0.9055385138137417,0.9055385138137417
4.522137923674174,-7.85597418678738,0.912414379544733,0.912414379544733
4.56339884658737,-8.0523734181542,0.912414379544733,0.912414379544733
4.605331283680504,-8.248630343533689,0.9219544457292888,0.9219544457292888
4.6481487055087,-8.444695888547953,0.8860022573334675,0.8860022573334675
4.691840609749129,-8.640568343163865,0.8860022573334675,0.8860022573334675
4.736259364835515,-8.836277543638815,0.9013878188659974,0.9013878188659974
