x,y,left_bound,right_bound
0.0,0.0,2.0,2.0
0.050315466528542005,0.025157235677482116,2.0,2.0
0.10062894270992846,0.050310490778751694,2.0,2.0
0.15093843827573672,0.07545578535743436,2.0,2.0
0.20124196311500678,0.10058914072673238,2.0,2.0
0.2515375273529648,0.12570658008896388,2.0,2.0
0.30182314142973743,0.15080412916480318,2.0,2.0
0.3520968161790533,0.1758778168221225,2.0,2.0
0.40235656290692945,0.20092367570433586,2.0,2.0
0.45260039347033876,0.22593774285814566,2.0,2.0
0.5028263203558555,0.25091606036059205,2.0,2.0
0.5530323567582763,0.27585467594530716,2.0,2.0
0.6032165166592127,0.30074964362787343,2.0,2.0
0.653376814905653,0.3255970243301886,2.0,2.0
0.70351126728849,0.35039288650373795,2.0,2.0
0.75361789062101,0.3751333067516743,2.0,2.0
0.8036947028173436,0.39981437044960916,2.0,2.0
0.8537397229708711,0.4244321723650157,2.0,2.0
0.9037509714325827,0.44898281727514516,2.0,2.0
0.9537264698893868,0.47346242058335947,2.0,2.0
1.0036642414423682,0.4978671089337832,2.0,2.0
1.0535623106849887,0.5221930208241764,2.0,2.0
1.1034187037812286,0.5464363072169317,2.0,2.0
1.1532314485436663,0.5705931321480996,2.0,2.0
1.2029985745114935,0.5946596733343446,2.0,2.0
1.2527181130284613,0.6186321227777377,2.0,2.0
1.3023880973207544,0.6425066873682873,2.0,2.0
1.3520065625747926,0.6662795894841151,2.0,2.0
1.4015715460149518,0.689947067589181,2.0,2.0
1.4510810869812085,0.7135053768284634,2.0,2.0
1.5005332270066971,0.7369507896204999,2.0,2.0
1.549926009895181,0.7602795962471933,2.0,2.0
1.5992574817984366,0.7834881054407946,2.0,2.0
1.6485256912935404,0.8065726449679624,2.0,2.0
1.697728689460063,0.8295295622108139,2.0,2.0
1.7468645299571635,0.8523552247448706,2.0,2.0
1.7959312691005807,0.8750460209138086,2.0,2.0
1.844926965939521,0.8975983604009241,2.0,2.0
1.8938496823334379,0.9200086747972219,2.0,2.0
1.9426974830286972,0.9422734181660357,2.0,2.0
1.9914684357351329,0.9643890676040954,2.0,2.0
2.0401606112024835,0.9863521237989488,2.0,2.0
2.0887720832967056,1.0081591115826491,2.0,2.0
2.1373009290761704,1.0298065804816252,2.0,2.0
2.185745228867727,1.0512911052626412,2.0,2.0
2.2341030663426404,1.072609286474765,2.0,2.0
2.282372528592398,1.0937577509872547,2.0,2.0
2.3305517062043775,1.1147331525232842,2.0,2.0
2.378638693337378,1.1355321721894154,2.0,2.0
2.4266315877970133,1.1561515190007414,2.0,2.0
2.474528491110951,1.17658793040161,2.0,2.0
2.5223275086040196,1.1968381727818536,2.0,2.0
2.5700267494731492,1.216899041988434,2.0,2.0
2.6176243268621726,1.2367673638324306,2.0,2.0
2.6651183579364606,1.2564399945912847,2.0,2.0
2.7125069639574013,1.2759138215062236,2.0,2.0
2.7597882703567236,1.2951857632747878,2.0,2.0
2.806960406810644,1.314252770538377,2.0,2.0
2.8540215073138535,1.3331118263647437,2.0,2.0
2.900969710253335,1.3517599467253583,2.0,2.0
2.947803158481999,1.3701941809675615,2.0,2.0
2.9945199993921507,1.388411612281445,2.0,2.0
3.0411183849887733,1.4064093581613677,2.0,2.0
3.0875964719626294,1.4241845708620509,2.0,2.0
3.1339524217631785,1.44173443784917,2.0,2.0
3.1801844006713034,1.4590561822443766,2.0,2.0
3.2262905798718498,1.4761470632646778,2.0,2.0
3.272269135525967,1.4930043766561039,2.0,2.0
3.3181182488432555,1.5096254551215975,2.0,2.0
3.3638361061537143,1.5260076687430546,2.0,2.0
3.4094208989794823,1.5421484253974493,2.0,2.0
3.4548708241063784,1.558045171166982,2.0,2.0
3.5001840836552343,1.5736953907431799,2.0,2.0
3.545358885153009,1.5890966078248874,2.0,2.0
3.590393441603697,1.6042463855100875,2.0,2.0
3.635285971559019,1.6191423266814877,2.0,2.0
3.6800346991888877,1.6337820743858107,2.0,2.0
3.7246378543516565,1.6481633122067285,2.0,2.0
3.7690936726641424,1.662283764631387,2.0,2.0
3.8134003955714193,1.676141197410453,2.0,2.0
3.8575562704163815,1.6897334179116354,2.0,2.0
3.901559550509076,1.7030582754666224,2.0,2.0
3.945408495195795,1.716113661711375,2.0,2.0
3.9891013699279316,1.7288975109197298,2.0,2.0
4.032636446330597,1.7414078003302549,2.0,2.0
4.076012002270986,1.7536425504663071,2.0,2.0
4.119226321926501,1.765599825449239,2.0,2.0
4.162277695852631,1.7772777333047116,2.0,2.0
4.205164421050566,1.7886744262620544,2.0,2.0
