x,y
0.0181567015,5.81E-06
0.01815670044,5.81E-06
0.01815669951,5.81E-06
0.01815669869,5.81E-06
0.01815669793,5.81E-06
0.01815669724,5.81E-06
0.01815669659,5.81E-06
0.01815665525,6.46E-06
0.01815689848,6.21E-06
0.01815688612,6.21E-06
0.01815687669,6.21E-06
0.01815686947,6.22E-06
0.0181568639,6.22E-06
0.01815685959,6.22E-06
0.01815685621,6.22E-06
0.01815685354,6.22E-06
0.0181568514,6.22E-06
0.01815684966,6.22E-06
0.01815684823,6.22E-06
0.01815684702,6.22E-06
0.01815684598,6.22E-06
0.01815684507,6.22E-06
0.01815684425,6.22E-06
0.01815684351,6.22E-06
0.01815684282,6.23E-06
0.01815684217,6.23E-06
0.01815705773,6.64E-06
0.01815704234,6.63E-06
0.01815703041,6.63E-06
0.0181570213,6.63E-06
0.01815701432,6.63E-06
0.01815700894,6.63E-06
0.01815700476,6.64E-06
0.01815700149,6.64E-06
0.03125529828,6.77E-06
0.05170842517,6.89E-06
0.07216883702,7.00E-06
0.09262924963,7.09E-06
0.1130896624,7.16E-06
0.1335500753,7.23E-06
0.1540104883,7.28E-06
0.1744709014,7.32E-06
0.1949313145,7.36E-06
0.2153917277,7.39E-06
0.2358521409,7.42E-06
0.2563125541,7.44E-06
0.2767729674,7.46E-06
0.2972342268,7.90E-06
0.3176947151,7.99E-06
0.3381551196,8.06E-06
0.3586155263,8.12E-06
0.3790759346,8.18E-06
0.3995363442,8.22E-06
0.4199967547,8.26E-06
0.4404571659,8.29E-06
0.4609175776,8.31E-06
0.4813779897,8.33E-06
0.5018384021,8.35E-06
0.5222988147,8.37E-06
0.5427592275,8.38E-06
0.5632196404,8.39E-06
0.5836800535,8.40E-06
0.6041404665,8.41E-06
0.6246008797,8.41E-06
0.6450612929,8.42E-06
0.6655217061,8.42E-06
0.6859821193,8.43E-06
0.7064425325,8.43E-06
0.7269038718,8.89E-06
0.7473642766,8.96E-06
0.7678246821,9.02E-06
0.7882850895,9.07E-06
0.8087454984,9.11E-06
0.8292059083,9.15E-06
0.8496663191,9.18E-06
0.8701267306,9.20E-06
0.8905871424,9.22E-06
