x,y,right_bound,left_bound
-5.465703,-1.975201,0.800000,0.800000
-5.296466,-2.027732,0.800000,0.800000
-5.124695,-2.050757,0.800000,0.800000
-4.948553,-2.058018,0.800000,0.800000
-4.841625,-2.031126,0.800000,0.800000
-4.681508,-1.971544,0.800000,0.800000
-4.519735,-1.911095,0.800000,0.800000
-4.357183,-1.850100,0.800000,0.800000
-4.192471,-1.788990,0.800000,0.800000
-4.029408,-1.729008,0.800000,0.800000
-3.865670,-1.667563,0.800000,0.800000
-3.701775,-1.608171,0.800000,0.800000
-3.538876,-1.548323,0.800000,0.800000
-3.375715,-1.486965,0.800000,0.800000
-3.210639,-1.427416,0.800000,0.800000
-3.048052,-1.368637,0.800000,0.800000
-2.884526,-1.307977,0.800000,0.800000
-2.722103,-1.248161,0.800000,0.800000
-2.557864,-1.185797,0.800000,0.800000
-2.394121,-1.125749,0.800000,0.800000
-2.228927,-1.068582,0.800000,0.800000
-2.066065,-1.008536,0.800000,0.800000
-1.903034,-0.947464,0.800000,0.800000
-1.738590,-0.886171,0.800000,0.800000
-1.574908,-0.825695,0.800000,0.800000
-1.412350,-0.766370,0.800000,0.800000
-1.248440,-0.706286,0.800000,0.800000
-1.083149,-0.646009,0.800000,0.800000
-0.920327,-0.584872,0.800000,0.800000
-0.756495,-0.524653,0.800000,0.800000
-0.593416,-0.464288,0.800000,0.800000
-0.430597,-0.404404,0.800000,0.800000
-0.265653,-0.343784,0.800000,0.800000
-0.103981,-0.283087,0.800000,0.800000
0.059800,-0.222683,0.800000,0.800000
0.222705,-0.162081,0.800000,0.800000
