s,dv2o
17.5539,1.98648
17.5731,1.96327
17.5952,1.95377
17.6173,1.9106
17.6479,1.90127
17.668,1.87921
17.6902,1.86117
17.711,1.84644
17.7305,1.82283
17.7534,1.7321
17.7764,1.7259
17.8164,1.70836
17.8564,1.70118
17.8904,1.69227
17.9116,1.67475
17.9327,1.65569
17.9543,1.6509
17.9679,1.64045
17.9807,1.62668
17.9946,1.62057
18.0048,1.61381
18.0134,1.58136
18.0363,1.57235
18.0591,1.5364
18.087,1.52271
18.1092,1.49098
18.1418,1.41299
18.1818,1.40847
18.2218,1.39522
18.2598,1.39015
18.2793,1.37383
18.3003,1.35735
18.3216,1.34072
18.343,1.33418
18.3578,1.32556
18.3706,1.30988
18.3865,1.29253
18.4041,1.27294
18.4266,1.26017
18.4462,1.25088
18.462,1.23955
18.4772,1.2236
18.4994,1.2119
18.5144,1.20211
18.5279,1.1911
18.542,1.17108
18.5622,1.15876
18.5809,1.14881
18.597,1.14306
18.609,1.13095
18.6228,1.1216
18.636,1.11073
18.6501,1.10497
18.6627,1.0675
18.696,1.0352
18.7358,1.02811
18.7601,1.0236
18.7761,1.01278
18.7899,1.00436
18.8054,0.989489
18.8235,0.975263
18.8433,0.968382
18.8589,0.953926
18.8772,0.9404
18.8968,0.9137
18.922,0.78602
18.962,0.782992
19.002,0.779075
19.042,0.780309
19.082,0.778727
19.122,0.778322
19.1607,0.773557
19.1843,0.726603
19.2243,0.722662
19.2643,0.705869
19.3036,0.69085
19.3394,0.659834
19.3794,0.657182
19.414,0.65369
19.4371,0.649103
19.4552,0.635903
19.4785,0.625357
19.4994,0.577545
19.5203,0.574585
19.5603,0.56873
19.6003,0.566194
19.6388,0.563648
19.6691,0.533023
19.7091,0.531474
19.7472,0.525764
19.7788,0.518327
19.8093,0.510947
19.8231,0.455552
19.8631,0.452444
19.9031,0.450111
19.9431,0.447362
19.9831,0.450285
20.0231,0.45106
20.0631,0.451398
20.0973,0.449618
20.1268,0.443377
20.1581,0.441964
20.1848,0.435829
20.2154,0.429085
20.2514,0.423516
20.2897,0.423071
20.3212,0.422881
20.3463,0.423458
20.3696,0.42358
20.3885,0.424862
20.4032,0.424072
20.4254,0.424821
20.4417,0.425142
20.458,0.426271
20.4737,0.424859
20.4913,0.426665
20.5088,0.427681
20.5249,0.429646
20.538,0.432426
20.5495,0.434101
20.564,0.435805
20.5771,0.437142
20.5867,0.43829
20.599,0.440749
20.6105,0.441817
20.6254,0.442529
20.6404,0.444865
20.6542,0.446599
20.6675,0.448884
20.6787,0.451584
20.6898,0.447801
20.709,0.450103
20.7175,0.448011
20.7398,0.451461
20.7561,0.452799
20.7717,0.456224
20.7841,0.459288
20.7938,0.461876
20.8018,0.465033
20.8098,0.466642
20.8203,0.459786
20.8423,0.461995
20.8594,0.465571
20.8714,0.462955
20.8882,0.463925
20.9039,0.463256
20.9212,0.465512
20.9348,0.466164
20.9484,0.46924
20.9575,0.467295
20.9723,0.46773
20.9861,0.468052
21.0002,0.469905
21.0131,0.47023
21.0252,0.471974
21.0362,0.474226
21.0466,0.475932
21.0563,0.47623
21.0672,0.479857
21.0765,0.480041
21.0861,0.481832
21.0961,0.483409
21.1049,0.480452
21.1193,0.481891
21.1317,0.485648
21.1407,0.487205
21.1499,0.485474
21.1624,0.483054
21.1777,0.485112
21.1896,0.488126
21.1991,0.490146
21.208,0.491562
21.2171,0.495208
21.2251,0.494645
21.2346,0.495825
21.245,0.497061
21.2543,0.496238
21.2658,0.495272
21.2787,0.494065
21.2918,0.484152
21.313,0.479913
21.3334,0.483265
21.3477,0.48159
21.3618,0.47784
21.3776,0.480761
21.3891,0.476508
21.4104,0.453726
21.4385,0.446956
21.4638,0.447229
21.4892,0.408981
21.5292,0.411529
21.5551,0.412365
21.5733,0.404006
21.5939,0.401628
21.6117,0.402686
21.6255,0.405233
21.6353,0.403195
21.6469,0.406685
21.6643,0.402525
21.6724,0.403281
21.6807,0.401887
21.6908,0.405127
21.6988,0.406968
21.7068,0.408111
21.7154,0.400448
21.7289,0.400125
21.7426,0.404237
21.7518,0.405587
21.7608,0.408025
21.7688,0.408007
21.7784,0.409572
21.7875,0.411875
21.7989,0.409034
21.8103,0.407415
21.8235,0.409902
21.8343,0.411138
21.8448,0.414824
21.853,0.414502
21.8637,0.416605
21.8738,0.419654
21.8826,0.420553
21.8922,0.41105
21.9134,0.413293
21.9287,0.415497
21.9416,0.414667
21.9552,0.418964
21.9646,0.422566
21.9726,0.420263
21.985,0.415013
22.003,0.415411
22.0181,0.417338
22.0299,0.417633
22.0426,0.419129
22.0538,0.421616
22.0633,0.423549
22.0728,0.423521
22.0832,0.424692
22.094,0.42906
22.102,0.43024
22.11,0.434369
22.118,0.435279
22.126,0.436898
22.134,0.436818
22.1429,0.439639
22.1509,0.438941
22.1612,0.437378
22.1729,0.434425
22.1867,0.433185
22.2013,0.436545
22.211,0.434854
22.2214,0.427872
22.2393,0.431048
22.2517,0.428851
22.2646,0.429021
22.2768,0.428408
22.2879,0.426051
22.3011,0.429204
22.3096,0.425895
22.3221,0.424645
22.3338,0.421772
22.3474,0.421691
22.3588,0.419319
22.3717,0.410076
22.3903,0.406315
22.4071,0.404735
22.4207,0.389881
22.4448,0.376838
22.4718,0.370035
22.4956,0.369168
22.5139,0.367716
22.5286,0.370617
22.5388,0.369138
22.5493,0.365009
22.5627,0.368097
22.5713,0.364482
22.5862,0.358454
22.5998,0.351286
22.6182,0.354637
22.6289,0.351553
22.6425,0.345354
22.6594,0.347748
22.6714,0.345426
22.6839,0.348563
22.6928,0.343897
22.7059,0.344067
22.7183,0.339702
22.7336,0.33801
22.7494,0.338289
22.7619,0.338313
22.7745,0.336836
22.7875,0.334393
22.8037,0.337348
22.8135,0.317223
22.8512,0.320328
22.8731,0.321032
22.8898,0.324829
22.8996,0.32284
22.9154,0.320945
22.9344,0.322621
22.9484,0.323948
22.9619,0.326219
22.976,0.326829
22.9869,0.329507
22.9964,0.333087
23.0044,0.33459
23.0124,0.335339
23.0233,0.338844
23.0313,0.341973
23.0393,0.342789
23.0482,0.344586
23.0576,0.341966
23.0768,0.343534
23.0914,0.34692
23.1013,0.349609
23.11,0.351779
23.1182,0.352436
23.1291,0.355013
23.1384,0.356937
23.1472,0.358021
23.1572,0.358105
23.17,0.35814
23.1839,0.360668
23.1945,0.363927
23.2025,0.36617
23.2105,0.364447
23.2224,0.36486
23.2337,0.362808
23.2499,0.361701
23.2654,0.358801
23.2847,0.359088
23.2993,0.357484
23.3155,0.356871
23.3295,0.359295
23.3391,0.355432
23.3537,0.356649
23.3653,0.355953
23.377,0.356112
23.3873,0.353702
23.4014,0.355267
23.4111,0.355912
23.4195,0.339454
23.4495,0.334519
23.4756,0.331769
23.4974,0.328466
23.5178,0.327846
23.5316,0.3262
23.5468,0.323185
23.5627,0.296525
23.6027,0.293734
23.6427,0.295274
23.6638,0.296388
23.6783,0.29682
23.6893,0.297682
23.6979,0.295726
23.71,0.296322
23.7195,0.295501
23.7313,0.292378
23.7465,0.292153
23.7589,0.288367
23.7779,0.288293
23.7924,0.289494
23.8028,0.287206
23.8186,0.28257
23.8446,0.277765
23.8799,0.278763
23.9025,0.278838
23.9225,0.279941
23.9386,0.280744
23.9528,0.281341
23.9689,0.282497
23.9824,0.283804
23.9938,0.284752
24.0085,0.286371
24.0191,0.286897
24.0403,0.288465
24.0546,0.29
24.0669,0.291509
24.0793,0.293133
24.0885,0.294433
24.1046,0.29596
24.1175,0.297454
24.1296,0.298931
24.1428,0.300265
24.1615,0.301662
24.178,0.303013
24.1917,0.304207
24.2191,0.305396
24.2493,0.306525
24.2734,0.307585
24.2972,0.308951
24.3209,0.310494
24.3609,0.311167
24.4009,0.311817
24.427,0.313808
24.467,0.314692
24.4961,0.316553
24.53,0.317014
24.5502,0.318239
24.5716,0.318814
24.5887,0.319657
24.6064,0.319895
24.6183,0.320399
24.6311,0.320887
24.644,0.321011
24.653,0.321212
24.6613,0.321466
24.6716,0.321816
24.6847,0.32228
24.7044,0.32243
24.7218,0.323213
24.7552,0.322941
24.7753,0.323102
24.798,0.323178
24.8209,0.323108
24.8422,0.323262
24.8653,0.323119
24.8862,0.32365
24.9167,0.324497
24.9456,0.326699
24.9745,0.327741
25.0145,0.327581
25.0417,0.327892
25.0648,0.327882
25.0871,0.330213
25.1124,0.330967
25.1358,0.330637
25.1537,0.330103
25.1667,0.329837
25.1787,0.32993
25.1916,0.329111
25.2012,0.3286
25.2107,0.335588
25.2443,0.336
25.268,0.339027
25.2947,0.342092
25.322,0.340962
25.3392,0.341456
25.3544,0.346743
25.3809,0.348415
25.4035,0.350114
25.4246,0.348861
25.4357,0.351892
25.4561,0.353605
25.4754,0.354344
25.492,0.357538
25.513,0.358962
25.5325,0.361233
25.5525,0.364663
25.5773,0.369517
25.6034,0.368366
25.6205,0.371664
25.6408,0.372585
25.6595,0.374628
25.6775,0.37444
25.6918,0.381495
25.7172,0.382001
25.7425,0.396815
25.7821,0.398538
25.8095,0.406444
25.8446,0.418203
25.8844,0.42225
25.9189,0.424604
25.9452,0.430969
25.9744,0.437854
26.0121,0.451747
26.0497,0.45757
26.0872,0.464302
26.1223,0.468925
26.1519,0.47599
26.1825,0.473872
26.2131,0.48857
26.2437,0.509871
26.2837,0.507518
26.3146,0.508496
26.3366,0.515617
26.3586,0.531104
26.3986,0.531944
26.4385,0.541157
26.4647,0.543833
26.4894,0.556699
26.5207,0.559661
26.5454,0.562558
26.5673,0.563301
26.5852,0.566526
26.6033,0.575565
26.6215,0.598242
26.6615,0.599448
26.6927,0.596595
26.7115,0.598057
26.7281,0.595126
26.7393,0.598769
26.7505,0.621113
26.7854,0.624396
26.8108,0.626438
26.8311,0.623586
26.8445,0.630687
26.8625,0.635067
26.8803,0.636724
26.8959,0.635482
26.908,0.635986
26.92,0.650967
26.9421,0.656209
26.9642,0.680046
26.9985,0.677503
27.0184,0.680251
27.0356,0.700263
27.0639,0.729535
27.1017,0.790577
27.1394,0.912844
27.1794,0.907507
0.0035891,0.909033
0.0435891,0.907867
0.0835891,0.910621
0.123589,0.983448
0.163589,0.981671
0.203589,0.981914
0.243589,0.980756
0.283589,0.979165
0.323589,0.984117
0.351063,0.988571
0.371784,0.992474
0.388758,0.997134
0.404006,0.994623
0.414415,1.00766
0.430526,1.00631
0.441974,1.0157
0.456622,1.02085
