s,dv2o
23.6105,1.99892
23.6322,1.98095
23.6569,1.97238
23.6749,1.95937
23.6945,1.94567
23.7126,1.93799
23.7264,1.9296
23.7391,1.91944
23.7519,1.9062
23.7648,1.88227
23.7918,1.87611
23.8092,1.86275
23.8278,1.85536
23.8416,1.84678
23.8506,1.83363
23.8676,1.82374
23.8829,1.81771
23.8944,1.81154
23.9035,1.80504
23.9115,1.79096
23.9233,1.7864
23.9336,1.77646
23.9458,1.76643
23.9584,1.75395
23.9729,1.7361
23.9936,1.72379
24.0145,1.71813
24.0287,1.71198
24.0397,1.69179
24.0608,1.68347
24.0771,1.67144
24.0952,1.66465
24.1089,1.63659
24.1395,1.59954
24.1795,1.58531
24.2195,1.5802
24.2432,1.57373
24.2607,1.56172
24.2789,1.53416
24.3125,1.51228
24.3497,1.47006
24.3897,1.45855
24.4297,1.45024
24.4641,1.44113
24.4882,1.43147
24.5095,1.39652
24.5495,1.38243
24.5863,1.37447
24.6112,1.35658
24.6407,1.35003
24.6618,1.32666
24.6952,1.26726
24.7352,1.25984
24.7752,1.25708
24.8152,1.25373
24.8473,1.24919
24.8683,1.23511
24.8891,1.21591
24.9229,1.15417
24.9629,1.14488
25.0029,1.14107
25.0429,1.13864
25.0829,1.13495
25.1179,1.12624
25.1449,1.10508
25.1828,1.10331
25.2038,1.1011
25.2181,1.09789
25.2299,1.06872
25.2699,1.06599
25.2946,1.0645
25.3108,1.05939
25.3265,1.05589
25.3403,1.05171
25.354,1.05031
25.3644,1.04808
25.3741,1.04032
25.3906,1.03633
25.4064,1.03085
25.435,1.02826
25.4453,1.02451
25.4581,1.0245
25.4669,1.01729
25.4847,1.01712
25.4979,1.01109
25.5164,1.0089
25.5328,1.00658
25.5487,1.00691
25.5597,1.00371
25.5746,0.996462
25.601,0.992677
25.6276,0.991283
25.6481,0.989694
25.6687,0.990451
25.6829,0.990035
25.6968,0.98774
25.7158,0.976678
25.7558,0.977466
25.7958,0.978951
25.8224,0.980618
25.8396,0.981419
25.8564,0.982204
25.8734,0.979744
25.9134,0.980827
25.9493,0.982404
25.9781,0.983853
26.0115,0.985452
26.0515,0.988309
26.0865,0.991441
26.1105,0.994794
26.1332,0.998265
26.1521,1.0021
26.1714,1.00599
26.1889,1.00987
26.2037,1.01772
26.2425,1.03022
26.2825,1.03746
26.3225,1.04193
26.3625,1.0475
26.3925,1.05533
26.4214,1.08409
26.4614,1.08954
26.5014,1.10579
26.5414,1.11091
26.5814,1.11704
26.6214,1.12276
26.646,1.12917
26.6633,1.13653
26.6784,1.14326
26.6909,1.15044
26.7028,1.16791
26.7317,1.1781
26.7563,1.19174
26.7845,1.20235
26.8085,1.21301
26.8307,1.22428
26.8513,1.24204
26.8823,1.26776
26.9223,1.2759
26.9488,1.28775
26.9762,1.29664
26.996,1.31235
27.0198,1.3213
27.0377,1.33174
27.0539,1.33921
27.0658,1.35217
27.0813,1.36527
27.102,1.37605
27.1228,1.40688
27.1628,1.41844
27.2028,1.43268
0.026935,1.44642
0.034935,1.45656
0.042935,1.46814
0.0510326,1.48201
0.0644546,1.49365
0.0781487,1.50119
0.0880924,1.51332
0.100516,1.52077
0.112939,1.53255
0.125362,1.54664
0.138524,1.55717
0.150921,1.57181
0.166753,1.5811
0.179337,1.59187
0.191921,1.61391
0.21378,1.63117
0.236674,1.66704
0.276674,1.67696
0.302548,1.68506
0.328422,1.69852
0.341374,1.70991
0.352252,1.72594
0.366996,1.73599
0.378955,1.74787
0.390769,1.761
0.40347,1.77855
0.420093,1.7865
0.431287,1.79974
0.443557,1.81349
0.455828,1.83371
0.474869,1.84261
0.488057,1.85649
0.501719,1.87717
0.5207,1.8878
0.535068,1.90525
0.55189,1.91439
0.563905,1.92363
0.57329,1.94136
0.587211,1.95557
0.601403,1.97412
0.618664,1.98776
0.634071,2.0059
