s,dv2o
2.42247,1.97575
2.45144,1.93429
2.49144,1.93296
2.53144,1.92631
2.57144,1.91734
2.58747,1.89564
2.60841,1.88102
2.62906,1.87287
2.64664,1.86671
2.66169,1.86393
2.67674,1.81699
2.70615,1.80214
2.73556,1.77925
2.76003,1.77858
2.77625,1.77824
2.79246,1.76368
2.80588,1.75416
2.82386,1.74635
2.83599,1.73186
2.85158,1.7257
2.8679,1.71118
2.88422,1.70156
2.89928,1.67373
2.92245,1.66758
2.94055,1.66445
2.95448,1.66322
2.96524,1.64901
2.98,1.64865
2.99083,1.6387
3.00167,1.61036
3.02467,1.58425
3.05206,1.57407
3.07945,1.55921
3.09808,1.54524
3.11715,1.53699
3.1338,1.5309
3.15044,1.5216
3.16415,1.51428
3.17755,1.49941
3.19397,1.4931
3.20843,1.48345
3.22316,1.47563
3.23729,1.47427
3.24757,1.45904
3.26369,1.44377
3.2813,1.43679
3.29891,1.42226
3.31536,1.40156
3.33657,1.3867
3.35696,1.36746
3.37904,1.33684
3.40885,1.31714
3.43598,1.29434
3.46381,1.17239
3.50381,1.16434
3.54381,1.16293
3.58381,1.14788
3.62322,1.14894
3.64447,1.12976
3.66573,1.13823
3.67798,1.13365
3.68918,1.11905
3.70423,1.09545
3.72571,1.08739
3.74352,1.07438
3.76059,1.03932
3.79015,1.02998
3.8197,1.00989
3.84028,0.995037
3.86068,0.984922
3.88075,0.977232
3.89355,0.96185
3.91237,0.96018
3.92597,0.911902
3.95808,0.856446
3.99808,0.854944
4.02899,0.846945
4.05113,0.824543
4.07641,0.81679
4.09577,0.801846
4.1157,0.795257
4.13219,0.785601
4.14807,0.778465
4.16271,0.763179
4.17991,0.761728
4.19274,0.734307
4.21437,0.718791
4.23571,0.712794
4.25291,0.698056
4.27175,0.683287
4.29097,0.668594
4.30834,0.505072
4.34834,0.475041
4.38834,0.474622
4.42834,0.480347
4.46834,0.472983
4.50834,0.467291
4.5392,0.457468
4.56254,0.457645
4.57782,0.442955
4.59544,0.439174
4.6093,0.414404
4.63034,0.404744
4.6486,0.396269
4.66372,0.38958
4.67688,0.379775
4.68912,0.371824
4.70007,0.363604
4.70959,0.356839
4.71812,0.347668
4.72639,0.34074
4.73439,0.330885
4.74239,0.331567
4.75039,0.321183
4.75839,0.313711
4.76764,0.31132
4.77658,0.313612
4.78458,0.309795
4.79258,0.306996
4.80058,0.30463
4.80858,0.303939
4.81658,0.304581
4.82458,0.302154
4.83258,0.302964
4.84058,0.305862
4.84858,0.309535
4.85658,0.312154
4.86458,0.312811
4.87258,0.314341
4.88058,0.315516
4.88858,0.308603
4.89658,0.313685
4.90458,0.310196
4.91258,0.307786
4.92058,0.311871
4.92858,0.310588
4.93658,0.302823
4.94458,0.303936
4.95258,0.306869
4.96058,0.30994
4.96858,0.311493
4.97658,0.313557
4.98458,0.313109
4.99258,0.314775
5.00058,0.315221
5.00858,0.317518
5.01658,0.318906
5.02458,0.32284
5.03258,0.31588
5.04058,0.319073
5.04858,0.306594
5.05658,0.296998
5.06458,0.298135
5.07258,0.291947
5.08058,0.26771
5.08858,0.266742
5.09658,0.273076
5.10458,0.273347
5.11258,0.273211
5.12058,0.275668
5.12858,0.280203
5.13658,0.282274
5.14458,0.28153
5.15258,0.284037
5.16058,0.286305
5.16858,0.289528
5.17658,0.290626
5.18458,0.293228
5.19258,0.293494
5.20058,0.295989
5.20858,0.299282
5.21658,0.299834
5.22458,0.30263
5.23258,0.293179
5.24058,0.290577
5.24858,0.290119
5.25658,0.280607
5.26458,0.281365
5.27258,0.279863
5.28058,0.278694
5.28858,0.267761
5.29658,0.272474
5.30458,0.27372
5.31258,0.269825
5.32058,0.269875
5.32858,0.271833
5.33658,0.27087
5.34458,0.275597
5.35258,0.275396
5.36058,0.275825
5.36858,0.276003
5.37658,0.276681
5.38458,0.277193
5.39258,0.279166
5.40058,0.27882
5.40858,0.279416
5.41658,0.277393
5.42458,0.271322
5.43258,0.265003
5.44058,0.260441
5.44858,0.255684
5.45658,0.258418
5.46458,0.249379
5.47258,0.24975
5.48058,0.245423
5.48858,0.245361
5.49658,0.232968
5.50458,0.235611
5.51258,0.237906
5.52058,0.237746
5.52858,0.242451
5.53658,0.239471
5.54458,0.240427
5.55258,0.242435
5.56058,0.243296
5.56858,0.245119
5.57658,0.244926
5.58458,0.247513
5.59258,0.249991
5.60058,0.246516
5.60858,0.247343
5.61658,0.249034
5.62458,0.251041
5.63258,0.24991
5.64058,0.250409
5.64858,0.242398
5.65658,0.239552
5.66458,0.236243
5.67258,0.232304
5.68058,0.230764
5.68858,0.228267
5.69658,0.223069
5.70458,0.220501
5.71258,0.218602
5.72058,0.218955
5.72858,0.212638
5.73658,0.214094
5.74458,0.212608
5.75258,0.213002
5.76058,0.213161
5.76858,0.214833
5.77658,0.211431
5.78458,0.211597
5.79258,0.209879
5.80058,0.210949
5.81043,0.209777
5.82737,0.212784
5.8411,0.212666
5.85587,0.205593
5.87636,0.203525
5.90042,0.201542
5.92443,0.200954
5.94763,0.20129
5.9699,0.193531
6.00512,0.194553
6.03767,0.193494
6.07203,0.191369
6.11203,0.19064
6.15203,0.190742
6.19203,0.191172
6.23203,0.185702
6.27203,0.187214
6.31203,0.185857
6.35203,0.185686
6.39203,0.180622
6.43203,0.17752
6.47203,0.174864
6.51203,0.174592
6.55203,0.173898
6.59203,0.175743
6.63203,0.177738
6.67203,0.179955
6.71203,0.18213
6.75203,0.184285
6.79203,0.18658
6.83203,0.188852
6.87203,0.192548
6.91203,0.195131
6.95203,0.197602
6.99203,0.200767
7.03203,0.203894
7.07203,0.207778
7.11203,0.209945
7.15203,0.212778
7.19203,0.21608
7.23203,0.218914
7.27203,0.221557
7.31203,0.225114
7.35203,0.228548
7.39203,0.233025
7.43203,0.237977
7.47203,0.244926
7.51203,0.249773
7.55203,0.254004
7.59203,0.257803
7.63203,0.260983
7.67203,0.263703
7.71203,0.270207
7.75203,0.27241
7.79203,0.277272
7.83203,0.288095
7.87203,0.300584
7.91203,0.310601
7.95203,0.323922
7.99203,0.329792
8.03203,0.331385
8.07203,0.337937
8.11203,0.339654
8.15203,0.343091
8.19203,0.35514
8.23203,0.458528
8.27203,0.459313
8.31203,0.456095
8.35203,0.45524
8.39203,0.455127
8.43203,0.455467
8.47203,0.44825
8.51203,0.455679
8.55203,0.457498
8.59203,0.46419
8.63203,0.558441
8.67203,0.582569
8.71203,0.599819
8.75203,0.630749
8.79203,0.642732
8.83203,0.653925
8.87203,0.657694
8.91203,0.6672
8.95203,0.665213
8.99203,0.797928
9.03203,0.813693
9.07203,0.822953
9.11203,0.834512
9.15203,0.834817
9.19203,0.843708
9.23203,0.844157
9.27203,0.855838
9.31203,0.857474
9.35203,0.862967
9.39203,0.867957
9.43203,0.868545
9.47203,0.870775
9.51203,0.871839
9.55203,0.882815
9.59203,0.889908
9.63203,0.913239
9.67203,0.920035
9.71203,0.923155
9.75203,0.925696
9.79203,0.926283
9.83203,0.935458
9.87203,0.936238
9.89808,0.949796
9.91551,0.9626
9.92814,0.975281
9.94519,1.02161
9.96068,1.03773
9.97507,1.04611
9.98691,1.05074
9.99611,1.06096
10.0059,1.08843
10.0247,1.13874
10.0531,1.14637
10.0737,1.16766
10.0955,1.1845
10.1168,1.19913
10.1371,1.24279
10.1724,1.27102
10.2082,1.28802
10.2378,1.31555
10.2717,1.33915
10.3057,1.37735
10.3457,1.38708
10.3782,1.38501
10.4107,1.53837
10.4433,1.53383
10.4833,1.53667
10.5233,1.52807
10.5633,1.52438
10.5959,1.52403
10.6149,1.52981
10.6308,1.53064
10.6401,1.55604
10.6645,1.56755
10.6867,1.58035
10.7088,1.59968
10.7349,1.61568
10.7609,1.62313
10.7821,1.64013
10.8058,1.65141
10.8276,1.65679
10.8452,1.66146
10.8599,1.66933
10.8748,1.6688
10.8851,1.67714
10.8978,1.6836
10.9109,1.68529
10.9214,1.69191
10.9333,1.69779
10.9458,1.71094
10.9626,1.70981
10.9736,1.71484
10.9849,1.73227
11.004,1.74369
11.0238,1.75445
11.0436,1.75871
11.0596,1.77072
11.078,1.79096
11.103,1.82362
11.1415,1.82149
11.1611,1.82719
11.1781,1.84552
11.201,1.84997
11.2187,1.86181
11.2381,1.87362
11.2583,1.88423
11.2782,1.88968
11.2947,1.92389
11.3281,1.9405
11.3584,1.95714
11.3869,1.96931
11.4116,1.98218
11.4348,1.99872
11.4597,2.0097
