s,dv2o
0.489099,1.99551
0.510177,1.96659
0.531255,1.92531
0.564558,1.89102
0.597923,1.82696
0.637923,1.81488
0.671016,1.80346
0.690708,1.78594
0.707679,1.76934
0.722595,1.72843
0.749149,1.70491
0.775702,1.64631
0.815702,1.59445
0.855702,1.57691
0.890482,1.56018
0.913705,1.51337
0.949953,1.50206
0.970874,1.49052
0.986062,1.43953
1.01844,1.41676
1.04485,1.4008
1.06448,1.28209
1.10448,1.26856
1.14448,1.25921
1.18448,1.23599
1.21927,1.21831
1.24266,1.19359
1.26691,1.1918
1.27765,1.1845
1.28565,1.16886
1.29403,1.15283
1.30412,1.14021
1.31388,1.12306
1.32364,1.09534
1.34206,1.084
1.36048,1.04033
1.38496,0.979032
1.42496,0.968001
1.45694,0.956376
1.47665,0.935048
1.49631,0.918416
1.51328,0.901782
1.5288,0.885233
1.54394,0.863469
1.56091,0.841941
1.57932,0.822843
1.59716,0.793892
1.62365,0.778007
1.64104,0.756838
1.65976,0.725365
1.68264,0.684466
1.72139,0.668503
1.74678,0.657411
1.77216,0.623317
1.79526,0.602486
1.81741,0.582831
1.83846,0.567526
1.85623,0.548057
1.87495,0.52899
1.89408,0.50584
1.9164,0.483086
1.9407,0.452514
1.97368,0.437047
1.99829,0.417825
2.02365,0.399112
2.04842,0.384617
2.07047,0.373347
2.08829,0.362264
2.1039,0.354242
2.11512,0.339724
2.13222,0.330311
2.14698,0.318831
2.16496,0.309906
2.18224,0.30194
2.20022,0.29548
2.2138,0.289503
2.22608,0.284041
2.23742,0.279609
2.25003,0.276297
2.26315,0.271811
2.2726,0.268363
2.28152,0.265664
2.29044,0.268811
2.29936,0.271589
2.31708,0.270976
2.33055,0.273121
2.34401,0.278553
2.35736,0.279435
2.36784,0.283447
2.37885,0.283946
2.38792,0.285489
2.39592,0.290481
2.40557,0.288758
2.41416,0.301694
2.4259,0.31514
2.44124,0.321431
2.45539,0.326473
2.46809,0.32974
2.47909,0.336069
2.49073,0.335502
2.49944,0.341607
2.5098,0.340289
2.5178,0.338988
2.5258,0.342278
2.5338,0.359626
2.54974,0.372843
2.56991,0.378495
2.58834,0.383046
2.6043,0.382771
2.61603,0.400243
2.63915,0.399433
2.65462,0.412383
2.67826,0.416531
2.69875,0.415031
2.71246,0.418779
2.72831,0.42463
2.74755,0.427949
2.76609,0.430926
2.7852,0.435541
2.80635,0.435816
2.82374,0.44351
2.8502,0.447149
2.87606,0.447061
2.89622,0.459578
2.93622,0.457766
2.96311,0.456174
2.98137,0.468685
3.02137,0.491718
3.06137,0.491482
3.10137,0.489323
3.14137,0.486606
3.18137,0.486817
3.22137,0.485572
3.26137,0.484488
3.2819,0.484466
3.29875,0.486468
3.3156,0.486671
3.33447,0.487161
3.35335,0.48883
3.36912,0.488524
3.38029,0.489484
3.39246,0.492514
3.40921,0.493095
3.4219,0.496473
3.43757,0.499729
3.45485,0.500297
3.46695,0.502607
3.47909,0.50286
3.48709,0.514978
3.51284,0.520142
3.53513,0.525546
3.5563,0.53142
3.57657,0.53557
3.59332,0.541462
3.61059,0.545916
3.62567,0.547801
3.63635,0.552429
3.64857,0.557031
3.66037,0.564174
3.67531,0.574079
3.69399,0.579359
3.71034,0.584909
3.72457,0.590448
3.73846,0.595893
3.76117,0.606998
3.7754,0.615127
3.78963,0.629806
3.81276,0.641753
3.83709,0.650736
3.85866,0.671021
3.8903,0.674939
3.91109,0.684373
3.92938,0.691502
3.94525,0.6986
3.95947,0.705321
3.97229,0.712921
3.98511,0.747149
4.02464,0.782525
4.06464,0.793647
4.10464,0.798936
4.13049,0.806693
4.14986,0.811719
4.16301,0.820619
4.17625,0.826011
4.18657,0.84432
4.20577,0.850205
4.21925,0.862891
4.23306,0.882296
4.25657,0.899342
4.28101,0.913018
4.30544,0.932266
4.32931,0.959726
4.36247,1.01871
4.40247,1.03449
4.44247,1.04156
4.477,1.04915
4.4977,1.05634
4.51839,1.07461
4.5338,1.08329
4.54599,1.09628
4.55934,1.12679
4.58908,1.16739
4.62675,1.18063
4.65181,1.19835
4.67467,1.24041
4.71313,1.24837
4.73477,1.26846
4.7567,1.29216
4.78116,1.31095
4.80361,1.38873
4.84361,1.4026
4.88361,1.41181
4.92361,1.42537
4.94071,1.44032
4.95661,1.45535
4.97189,1.46957
4.98644,1.49004
5.00386,1.51054
5.02301,1.53118
5.04319,1.55165
5.06381,1.58168
5.09046,1.59887
5.11315,1.64755
5.15257,1.65745
5.17551,1.67278
5.19431,1.68808
5.21143,1.72651
5.24127,1.75946
5.2744,1.87168
5.3144,1.88787
5.3544,1.90883
5.3944,1.92387
5.4344,1.93982
5.47351,1.95247
5.49962,1.96708
5.51948,1.99146
5.54265,2.01372
