s,dv2o
1.17368,1.97995
1.19185,1.95522
1.21147,1.93813
1.23108,1.92664
1.24186,1.90915
1.25377,1.89138
1.26568,1.87461
1.27869,1.85677
1.29171,1.83914
1.30699,1.81575
1.32308,1.80448
1.33486,1.79256
1.34458,1.78103
1.35293,1.76441
1.36315,1.73422
1.38175,1.70786
1.40298,1.68539
1.42374,1.66795
1.44155,1.65122
1.45732,1.63973
1.46912,1.62322
1.48144,1.59025
1.51377,1.56302
1.53278,1.54051
1.55436,1.51245
1.57664,1.49196
1.59738,1.47
1.62334,1.42701
1.65468,1.41025
1.67715,1.38856
1.69929,1.37258
1.71691,1.34071
1.74207,1.31933
1.76484,1.2984
1.78631,1.28181
1.80459,1.27119
1.81758,1.25025
1.83371,1.22952
1.84983,1.20837
1.86961,1.19722
1.88414,1.17646
1.90087,1.16583
1.9131,1.14019
1.9319,1.12952
1.95071,1.11382
1.96188,1.10291
1.97002,1.0758
1.98884,1.06777
2.00071,1.05184
2.01359,1.03196
2.02955,1.02155
2.04135,1.01075
2.05105,0.990806
2.06537,0.980263
2.07636,0.938096
2.10686,0.910264
2.138,0.84662
2.178,0.83605
2.218,0.821653
2.2479,0.811357
2.26681,0.784158
2.29257,0.752391
2.32668,0.655888
2.36668,0.631934
2.40668,0.627756
2.44668,0.61781
2.48668,0.60767
2.52476,0.585325
2.55975,0.57624
2.58064,0.56419
2.59801,0.552314
2.61369,0.540456
2.62845,0.523147
2.64825,0.509163
2.66822,0.498328
2.68534,0.487
2.70171,0.47749
2.71809,0.463868
2.73571,0.450385
2.7581,0.440116
2.77832,0.432128
2.79497,0.424337
2.80978,0.415806
2.82465,0.407053
2.84818,0.400684
2.87183,0.395641
2.88795,0.390791
2.9017,0.386687
2.91701,0.382854
2.93072,0.37933
2.94443,0.380467
2.96615,0.378042
2.98249,0.37482
2.99283,0.373265
3.00471,0.373683
3.01841,0.373053
3.03106,0.37261
3.04288,0.376799
3.05879,0.380421
3.07556,0.377358
3.08607,0.375406
3.09407,0.379476
3.10603,0.388849
3.12431,0.393183
3.14123,0.39498
3.15534,0.39969
3.16945,0.407493
3.18694,0.406829
3.19999,0.405975
3.20949,0.409253
3.22022,0.410343
3.23025,0.414329
3.24161,0.411958
3.24961,0.424269
3.26608,0.423941
3.27766,0.423779
3.28665,0.426528
3.2967,0.429405
3.30733,0.432208
3.31813,0.435242
3.32957,0.435228
3.33757,0.435195
3.34574,0.437837
3.3545,0.443748
3.36787,0.446708
3.37976,0.45242
3.39488,0.457946
3.4106,0.461364
3.42551,0.464179
3.43899,0.464249
3.44895,0.466946
3.45981,0.475637
3.47658,0.481321
3.49454,0.484111
3.50946,0.489779
3.52646,0.492532
3.54091,0.505343
3.56497,0.509234
3.58572,0.518288
3.61862,0.523409
3.63677,0.52383
3.64976,0.528796
3.66495,0.542209
3.69138,0.559893
3.73138,0.563366
3.76378,0.564964
3.78431,0.566091
3.79936,0.570921
3.81592,0.573667
3.83106,0.576456
3.84462,0.577332
3.85515,0.581903
3.86949,0.594474
3.89668,0.595387
3.9147,0.598402
3.93007,0.603296
3.94694,0.604557
3.9592,0.611209
3.97539,0.616868
3.98689,0.640206
4.02689,0.646159
4.06689,0.648454
4.09071,0.650358
4.1062,0.652494
4.12099,0.65884
4.13463,0.668005
4.15458,0.669404
4.16682,0.676228
4.18273,0.682928
4.19971,0.689867
4.21758,0.694916
4.23319,0.699967
4.24706,0.703036
4.25788,0.718064
4.28106,0.726153
4.30218,0.734398
4.32259,0.740205
4.3392,0.744904
4.35258,0.755494
4.37032,0.762047
4.38579,0.768403
4.40147,0.778234
4.41756,0.782676
4.43365,0.792615
4.447,0.80829
4.46884,0.815982
4.48687,0.820377
4.49955,0.828077
4.51297,0.838835
4.52837,0.843598
4.53984,0.85455
4.55342,0.866402
4.571,0.871852
4.58408,0.88036
4.59702,0.889021
4.61015,0.895625
4.62133,0.910257
4.63836,0.91906
4.6534,0.925091
4.66507,0.938112
4.68044,0.947448
4.69481,0.953691
4.70601,0.959474
4.71508,0.969092
4.72589,0.985908
4.74318,0.996601
4.75924,1.0063
4.77372,1.02034
4.79056,1.03931
4.81002,1.05378
4.83174,1.0644
4.85346,1.10945
4.89346,1.11637
4.91754,1.13596
4.94296,1.14812
4.96332,1.16005
4.98088,1.20336
5.02088,1.22455
5.05458,1.23216
5.07135,1.26753
5.108,1.27507
5.12914,1.2918
5.14971,1.305
5.16794,1.31782
5.18432,1.33045
5.19966,1.34814
5.21717,1.3615
5.23382,1.36964
5.24627,1.39231
5.26554,1.40548
5.2827,1.41901
5.29871,1.42711
5.31067,1.45026
5.32981,1.47586
5.35481,1.48263
5.37095,1.4968
5.38686,1.51019
5.40195,1.5241
5.41727,1.5481
5.43859,1.5623
5.45739,1.58617
5.48163,1.59581
5.50587,1.61511
5.52181,1.62878
5.53775,1.64288
5.55278,1.65176
5.56456,1.66627
5.57838,1.67525
5.58966,1.70062
5.60924,1.72017
5.62925,1.7671
5.66925,1.77987
5.70037,1.79036
5.72154,1.8037
5.73912,1.81861
5.75655,1.8275
5.7708,1.89418
5.8108,1.92428
5.8508,1.9336
5.8908,1.94428
5.91846,1.95237
5.93634,1.96136
5.95021,1.99192
5.97942,2.01611
