s,dv2o
2.19979,1.98691
2.2153,1.97068
2.2336,1.95598
2.25274,1.92195
2.28175,1.9186
2.3012,1.91073
2.31827,1.89717
2.33607,1.90116
2.34677,1.8861
2.36186,1.87211
2.37893,1.86813
2.39267,1.85135
2.4103,1.84679
2.42466,1.83363
2.44098,1.82775
2.45518,1.82308
2.46767,1.80756
2.48398,1.79355
2.50174,1.78996
2.51578,1.78761
2.52714,1.77973
2.53933,1.76621
2.55469,1.7481
2.57347,1.73435
2.59277,1.73324
2.60732,1.7155
2.62499,1.70965
2.63992,1.69709
2.65642,1.68333
2.67409,1.67554
2.68989,1.67212
2.70274,1.66661
2.71484,1.66332
2.72555,1.65161
2.73627,1.60616
2.76934,1.60268
2.79031,1.60748
2.80247,1.60138
2.81444,1.57824
2.8339,1.57302
2.85335,1.56923
2.86465,1.56401
2.8758,1.56016
2.8862,1.55744
2.8957,1.55337
2.90533,1.53664
2.92063,1.5339
2.93291,1.5371
2.94091,1.52474
2.9533,1.51825
2.96609,1.50504
2.97997,1.48963
2.9982,1.48015
3.01455,1.437
3.04719,1.30672
3.07983,1.30275
3.11983,1.29412
3.15983,1.28468
3.19983,1.28531
3.2311,1.27895
3.25299,1.28172
3.26614,1.28264
3.27579,1.28668
3.28379,1.28147
3.29179,1.2736
3.30132,1.25759
3.31633,1.2518
3.32968,1.243
3.34304,1.23436
3.35731,1.21298
3.37728,1.19284
3.39984,1.1867
3.41762,1.17933
3.43327,1.17059
3.44841,1.15825
3.46472,1.15261
3.47889,1.1528
3.48913,1.15195
3.4974,1.13934
3.50992,1.10689
3.53482,1.09808
3.55439,1.09828
3.56782,1.0896
3.5815,1.08924
3.59182,1.06353
3.61129,1.05749
3.62803,1.0379
3.64777,1.00939
3.67436,0.967574
3.71187,0.945404
3.74438,0.944931
3.76377,0.936409
3.78093,0.935678
3.79321,0.88696
3.82532,0.808103
3.86532,0.731935
3.90532,0.705904
3.94532,0.702758
3.98532,0.696628
4.02532,0.688194
4.0583,0.687294
4.07814,0.678069
4.09567,0.677409
4.11007,0.641327
4.13513,0.640647
4.15157,0.588007
4.18902,0.574368
4.21682,0.574073
4.23356,0.552829
4.25589,0.497703
4.29589,0.477126
4.33204,0.468973
4.35654,0.461698
4.37559,0.461911
4.38885,0.446357
4.40556,0.427688
4.42599,0.418717
4.44413,0.403763
4.46298,0.40261
4.47653,0.393872
4.48968,0.387096
4.50169,0.378319
4.51315,0.370356
4.5241,0.36442
4.53356,0.355827
4.5426,0.347147
4.55097,0.340086
4.55904,0.332288
4.56704,0.323086
4.57504,0.316659
4.58304,0.294204
4.60107,0.269903
4.62545,0.267261
4.6429,0.26931
4.65437,0.269907
4.66316,0.271971
4.67116,0.27442
4.67916,0.270964
4.68716,0.268297
4.69516,0.272655
4.70316,0.27644
4.71116,0.279456
4.71916,0.284097
4.72716,0.287742
4.73516,0.291593
4.74316,0.296255
4.75116,0.300061
4.75916,0.30405
4.76716,0.305579
4.77516,0.307806
4.78316,0.310543
4.79116,0.313721
4.79916,0.311259
4.80716,0.315371
4.81516,0.316115
4.82316,0.316892
4.83116,0.316022
4.83916,0.311947
4.84716,0.313498
4.85516,0.303996
4.86316,0.306092
4.87116,0.303762
4.87916,0.301069
4.88716,0.298769
4.89516,0.291217
4.90316,0.280114
4.91116,0.283584
4.91916,0.281433
4.92716,0.279719
4.93516,0.275435
4.94316,0.275487
4.95116,0.276518
4.95916,0.27155
4.96716,0.272339
4.97516,0.273919
4.98316,0.275283
4.99116,0.276538
4.99916,0.280536
5.00716,0.282867
5.01516,0.285407
5.02316,0.288158
5.03116,0.291264
5.03916,0.292618
5.04716,0.294435
5.05516,0.296633
5.06316,0.299282
5.07116,0.293195
5.07916,0.285506
5.08716,0.280102
5.09516,0.274707
5.10316,0.271402
5.11116,0.25828
5.11916,0.258336
5.12716,0.250114
5.13516,0.25312
5.14316,0.245501
5.15116,0.245624
5.15916,0.24767
5.16716,0.247783
5.17516,0.248947
5.18316,0.250994
5.19116,0.250453
5.19916,0.24969
5.20716,0.251793
5.21516,0.252719
5.22316,0.253466
5.23116,0.255307
5.23916,0.254531
5.24716,0.253536
5.25516,0.253219
5.26316,0.25001
5.27116,0.249267
5.27916,0.244665
5.28716,0.237748
5.29516,0.233294
5.30316,0.234521
5.31116,0.234543
5.31916,0.234696
5.32716,0.234518
5.33516,0.235363
5.34316,0.237367
5.35116,0.233652
5.36032,0.233056
5.36914,0.229523
5.38322,0.222454
5.4072,0.218688
5.43193,0.214269
5.46363,0.215632
5.48666,0.217597
5.50526,0.215742
5.52859,0.213049
5.56432,0.215705
5.59052,0.218317
5.61284,0.220127
5.63645,0.22153
5.66475,0.224528
5.69089,0.227068
5.73089,0.230477
5.77089,0.234359
5.81089,0.237922
5.85089,0.24254
5.89089,0.246055
5.93089,0.250225
5.97089,0.253678
6.01089,0.258827
6.05089,0.262299
6.09089,0.266011
6.13089,0.269514
6.17089,0.273951
6.21089,0.277363
6.25089,0.280616
6.29089,0.284175
6.33089,0.287495
6.37089,0.290569
6.41089,0.293962
