s,dv2o
23.4632,1.99957
23.4873,1.99026
23.5071,1.97814
23.5258,1.95957
23.5515,1.93239
23.5898,1.92261
23.6156,1.9039
23.6413,1.88576
23.6735,1.87676
23.6957,1.85808
23.7237,1.85273
23.741,1.84365
23.7573,1.83821
23.7705,1.82625
23.7834,1.80818
23.8062,1.80011
23.8244,1.79417
23.8377,1.78596
23.8506,1.77053
23.8695,1.7587
23.8904,1.71204
23.9304,1.70595
23.9679,1.70093
23.9896,1.69195
24.0077,1.68707
24.0209,1.67828
24.0324,1.6506
24.0646,1.61953
24.1046,1.61493
24.133,1.6018
24.1611,1.58155
24.1924,1.57714
24.2114,1.56622
24.2309,1.54634
24.2591,1.53328
24.2861,1.51901
24.3124,1.49897
24.3474,1.48665
24.3767,1.47945
24.3985,1.47295
24.4159,1.46575
24.4319,1.44964
24.4575,1.40844
24.4975,1.39319
24.5375,1.38972
24.5752,1.38596
24.5974,1.36817
24.6283,1.35047
24.6647,1.3447
24.6887,1.34129
24.7053,1.33837
24.7173,1.33234
24.7302,1.32116
24.7492,1.30792
24.7741,1.27777
24.8141,1.27521
24.8481,1.27034
24.8712,1.26277
24.8928,1.25487
24.9143,1.25034
24.932,1.24574
24.9477,1.24387
24.9569,1.23494
24.9755,1.23016
24.9923,1.22827
25.0039,1.21943
25.0231,1.21551
25.0396,1.21157
25.055,1.21006
25.0664,1.20438
25.0816,1.20275
25.0968,1.19932
25.1088,1.1939
25.1234,1.19078
25.1379,1.17088
25.1779,1.16477
25.2179,1.15581
25.2548,1.15224
25.2828,1.14757
25.31,1.14472
25.3332,1.14198
25.3552,1.13973
25.3756,1.13845
25.3935,1.1363
25.4125,1.13674
25.4262,1.13598
25.4402,1.13656
25.451,1.13402
25.4689,1.13389
25.4846,1.13095
25.5083,1.12002
25.5483,1.12161
25.5883,1.12327
25.6209,1.12495
25.6398,1.12392
25.6703,1.12289
25.6941,1.12296
25.7341,1.12491
25.7741,1.12746
25.8048,1.13005
25.8239,1.13189
25.8572,1.13427
25.8972,1.13769
25.9372,1.14099
25.9703,1.14556
26.007,1.15623
26.047,1.16039
26.087,1.1646
26.127,1.17084
26.1631,1.17784
26.1953,1.18418
26.221,1.19003
26.2414,1.19583
26.2588,1.20065
26.2714,1.20666
26.2842,1.21506
26.303,1.22019
26.3165,1.22801
26.3346,1.23604
26.3522,1.24214
26.3664,1.25425
26.3912,1.26932
26.416,1.28514
26.456,1.2911
26.496,1.31463
26.536,1.32309
26.5711,1.32948
26.5918,1.33785
26.6095,1.34627
26.6253,1.37323
26.6653,1.38444
26.7053,1.39111
26.7453,1.41111
26.7657,1.42803
26.7971,1.45727
26.8371,1.53956
26.8771,1.54443
26.9171,1.54936
26.9571,1.55515
26.9971,1.55976
27.0371,1.56483
27.0599,1.56934
27.072,1.57482
27.08,1.5848
27.0889,1.59244
27.0969,1.60353
27.1049,1.63494
27.1449,1.64616
27.1849,1.65454
0.00908266,1.66584
0.0170827,1.67731
0.0250827,1.68589
0.0330827,1.69993
0.0410827,1.71209
0.0490827,1.72087
0.0570827,1.73631
0.0650827,1.74814
0.0777411,1.75712
0.0880555,1.76921
0.0997301,1.78152
0.112284,1.80102
0.131362,1.81342
0.147883,1.84032
0.175651,1.9115
0.215651,1.92076
0.255651,1.93023
0.295651,1.95423
0.333466,1.97725
0.367244,2.03381
