s,dv2o
10.5144,1.99514
10.5296,1.96826
10.5546,1.95483
10.5771,1.9454
10.5975,1.89269
10.6178,1.87044
10.6578,1.8699
10.6876,1.85845
10.7121,1.83508
10.7405,1.7693
10.7805,1.69611
10.8205,1.68867
10.8605,1.68999
10.9005,1.69017
10.9284,1.67214
10.9553,1.66632
10.9755,1.65956
10.993,1.64578
11.0118,1.61107
11.0463,1.57264
11.0838,1.5549
11.1147,1.53648
11.1427,1.52967
11.1708,1.50406
11.1948,1.48024
11.2223,1.42463
11.2623,1.42343
11.2924,1.42349
11.3114,1.39737
11.3375,1.34221
11.3775,1.33456
11.4175,1.31601
11.4575,1.27631
11.4863,1.27163
11.5068,1.26471
11.5247,1.25195
11.5429,1.24615
11.5583,1.23208
11.5738,1.22721
11.5899,1.21869
11.6058,1.21264
11.6201,1.19908
11.6372,1.18733
11.6549,1.17202
11.6747,1.14817
11.6996,1.11452
11.7331,1.10742
11.7618,1.09423
11.7812,1.07564
11.8034,1.06829
11.8219,1.06066
11.8385,1.05568
11.8528,1.05564
11.8636,1.02925
11.8844,1.00277
11.9115,0.989485
11.935,0.975949
11.9585,0.956795
11.9817,0.943833
12.0033,0.924269
12.0273,0.923184
12.0439,0.91477
12.0597,0.915996
12.0708,0.883713
12.0945,0.865074
12.1192,0.838375
12.1486,0.838076
12.1628,0.805347
12.1944,0.682338
12.2344,0.682169
12.2744,0.674425
12.3144,0.674012
12.3507,0.673334
12.3719,0.652023
12.3963,0.640418
12.4177,0.618296
12.4428,0.560926
12.4828,0.437553
12.5228,0.345066
12.5628,0.295902
12.6028,0.236224
12.6428,0.238692
12.6828,0.223303
12.7228,0.227605
12.7628,0.227713
12.8028,0.227598
12.8428,0.236839
12.8653,0.242197
12.8781,0.248022
12.8861,0.253981
12.8941,0.258129
12.9021,0.261312
12.9101,0.266426
12.9181,0.270892
12.9261,0.275352
12.9341,0.275729
12.9421,0.278049
12.9501,0.28223
12.9581,0.280106
12.9661,0.283132
12.9741,0.283795
12.9821,0.288712
12.9901,0.290932
12.9981,0.295011
13.0061,0.298354
13.0141,0.300271
13.0221,0.301748
13.0301,0.302374
13.0381,0.302038
13.0461,0.29362
13.0541,0.273013
13.0621,0.268282
13.0701,0.266686
13.0781,0.26591
13.0861,0.268078
13.0941,0.266433
13.1021,0.269839
13.1101,0.269052
13.1181,0.272043
13.1261,0.27136
13.1341,0.269733
13.1421,0.271707
13.1501,0.272362
13.1581,0.270935
13.1661,0.273507
13.1741,0.276912
13.1821,0.280169
13.1901,0.27338
13.1981,0.277204
13.2061,0.281008
13.2141,0.282274
13.2221,0.285331
13.2301,0.284439
13.2381,0.28872
13.2461,0.292311
13.2541,0.297413
13.2621,0.302608
13.2701,0.307813
13.2781,0.313219
13.2861,0.31883
13.2941,0.324562
13.3021,0.330113
13.3101,0.347778
13.3397,0.354024
13.3558,0.359538
13.3656,0.365681
13.375,0.372409
13.3848,0.377126
13.3928,0.382036
13.4008,0.388716
13.4088,0.394066
13.4168,0.399306
13.4248,0.405299
13.4328,0.410612
13.4408,0.41569
13.4488,0.420545
13.4568,0.425092
13.4648,0.429574
13.4728,0.432913
13.4841,0.437041
13.4927,0.440437
13.5023,0.444354
13.5103,0.443405
13.5292,0.44537
13.5452,0.447323
13.5591,0.448731
13.5722,0.44818
13.5876,0.450833
13.5977,0.449452
13.6126,0.44929
13.6267,0.450759
13.6382,0.450922
13.6496,0.450095
13.6618,0.448582
13.6749,0.442206
13.6932,0.437784
13.7118,0.432737
13.7307,0.430865
13.7467,0.431191
13.7588,0.432031
13.7685,0.428906
13.78,0.429644
13.7891,0.42528
13.8011,0.418914
13.8169,0.415881
13.8302,0.415752
13.8409,0.412627
13.8533,0.40339
13.8689,0.397128
13.8849,0.392416
13.9004,0.391097
13.9128,0.375501
13.9336,0.367167
13.9538,0.358357
13.9743,0.352891
13.9926,0.345056
14.0109,0.339953
14.0269,0.336548
14.0416,0.331756
14.0559,0.33163
14.0667,0.322857
14.0818,0.318214
14.0965,0.302627
14.1192,0.290589
14.1445,0.290726
14.1612,0.289812
14.1741,0.287031
14.1867,0.282563
14.1997,0.279426
14.2132,0.279654
14.2235,0.272982
14.2377,0.258092
14.2642,0.258786
14.2814,0.256288
14.2972,0.24955
14.3165,0.24091
14.3431,0.225977
14.3831,0.22746
14.4122,0.228692
14.4312,0.227867
14.4504,0.226674
14.4719,0.226178
14.4961,0.226732
14.5246,0.231142
14.5646,0.233915
14.6016,0.236606
14.6237,0.24006
14.6406,0.243769
14.656,0.247244
14.6691,0.255255
14.6943,0.260719
14.7147,0.270073
14.7454,0.277334
14.772,0.281381
14.7915,0.284738
14.8062,0.288502
14.8192,0.295725
14.8352,0.304705
14.8648,0.310102
14.8917,0.32092
14.9301,0.326235
14.9701,0.327935
14.991,0.329891
15.0228,0.331926
15.0547,0.33256
15.0943,0.333021
15.1171,0.319515
15.1571,0.315284
15.1971,0.312102
15.2228,0.30581
15.2487,0.300745
15.2722,0.293694
15.2966,0.285005
15.326,0.280359
15.352,0.277216
15.3735,0.273523
15.3939,0.269477
15.4171,0.267518
15.4384,0.264974
15.4784,0.266484
15.5184,0.271254
15.5584,0.308599
15.5984,0.311632
15.6384,0.359231
15.6784,0.35997
15.7184,0.370976
15.7584,0.367462
15.7984,0.368888
15.8384,0.366453
15.8784,0.363345
15.9113,0.360521
15.9269,0.372535
15.9562,0.38731
15.9962,0.393224
16.0355,0.394443
16.0612,0.394542
16.0786,0.401901
16.108,0.426606
16.148,0.429277
16.188,0.42827
16.228,0.429434
16.268,0.42775
16.308,0.429019
16.3274,0.429009
16.3452,0.431214
16.3679,0.43212
16.3904,0.436997
16.4216,0.439471
16.4501,0.445398
