s,dv2o
0.697809,1.95517
0.735246,1.93654
0.760737,1.90652
0.787066,1.88244
0.811317,1.86527
0.829818,1.84156
0.849195,1.82939
0.868571,1.80143
0.885241,1.76426
0.910831,1.73008
0.939126,1.56641
0.979126,1.54595
1.01913,1.54222
1.05913,1.52909
1.09913,1.51788
1.13913,1.50766
1.16458,1.48867
1.18528,1.46604
1.20598,1.4503
1.2224,1.4368
1.23557,1.42121
1.24803,1.40125
1.26242,1.34531
1.29943,1.18244
1.33943,1.17682
1.37943,1.17008
1.41943,1.16308
1.45943,1.15857
1.49521,1.15086
1.51414,1.14523
1.52454,1.14194
1.53254,1.12172
1.54129,1.11114
1.54929,1.09417
1.56213,1.06098
1.58192,1.04584
1.60171,1.02669
1.61681,1.0176
1.62705,0.998166
1.64056,0.951846
1.67301,0.930788
1.69908,0.90964
1.72215,0.852619
1.76215,0.823403
1.80215,0.811093
1.83008,0.797266
1.85065,0.735104
1.89065,0.723245
1.92599,0.710177
1.94852,0.705001
1.96067,0.690588
1.9731,0.671281
1.98902,0.652916
2.00493,0.63415
2.02406,0.620933
2.03984,0.596965
2.06078,0.584123
2.07804,0.571702
2.09242,0.5471
2.11406,0.535215
2.13096,0.514846
2.15165,0.495902
2.17207,0.479718
2.19369,0.468589
2.21033,0.454916
2.22646,0.439767
2.24388,0.42818
2.25906,0.408822
2.28089,0.385362
2.3139,0.374968
2.33735,0.366425
2.35451,0.356828
2.37,0.349515
2.38144,0.339526
2.39576,0.330451
2.41008,0.323058
2.42481,0.315629
2.44083,0.309251
2.45982,0.30466
2.47876,0.300662
2.49769,0.298965
2.51367,0.296339
2.52705,0.292479
2.53644,0.289184
2.54444,0.287293
2.55244,0.284582
2.56044,0.285807
2.56844,0.297755
2.58728,0.301128
2.60351,0.302571
2.6175,0.303084
2.62823,0.311795
2.64154,0.317224
2.65443,0.318578
2.6649,0.317754
2.6729,0.329497
2.68565,0.335512
2.69835,0.335178
2.70751,0.333627
2.71551,0.337164
2.72351,0.365674
2.74529,0.372398
2.76359,0.379006
2.78039,0.381014
2.79346,0.387579
2.80743,0.397333
2.82451,0.403877
2.84097,0.403068
2.85248,0.406367
2.86403,0.408047
2.87457,0.411306
2.88597,0.416907
2.89978,0.422543
2.91527,0.434341
2.9377,0.433116
2.95263,0.435378
2.96657,0.454262
2.99984,0.455902
3.02342,0.461977
3.04816,0.466093
3.0717,0.473433
3.10105,0.472546
3.12006,0.471029
3.13312,0.471321
3.14505,0.472366
3.15699,0.473142
3.17107,0.472993
3.1833,0.472474
3.19425,0.472563
3.2052,0.471889
3.2147,0.47095
3.223,0.472631
3.23591,0.473009
3.24883,0.477668
3.26919,0.47925
3.28815,0.485742
3.31648,0.490695
3.34605,0.49676
3.3728,0.512687
3.4128,0.514001
3.4528,0.513322
3.47376,0.515598
3.49212,0.515383
3.50392,0.522581
3.52444,0.537168
3.56264,0.541611
3.5903,0.546258
3.61412,0.554689
3.64045,0.562367
3.66739,0.568027
3.69054,0.571495
3.70932,0.577456
3.72813,0.585009
3.74894,0.588637
3.76601,0.592981
3.7812,0.603976
3.80424,0.614814
3.83059,0.619781
3.84968,0.626841
3.87029,0.631909
3.88723,0.634207
3.89919,0.641449
3.91355,0.647256
3.92844,0.655148
3.94453,0.657928
3.95614,0.661002
3.96516,0.669148
3.97748,0.677557
3.99328,0.683757
4.00819,0.690215
4.02311,0.701073
4.0412,0.707747
4.05685,0.71122
4.06821,0.718236
4.08012,0.724127
4.09166,0.733797
4.10623,0.738465
4.11706,0.750916
4.1344,0.758302
4.15004,0.768519
4.16665,0.772913
4.18325,0.794914
4.20661,0.803363
4.22545,0.81435
4.24419,0.818932
4.25691,0.827895
4.27042,0.846465
4.29218,0.85169
4.30671,0.863267
4.32305,0.872215
4.33757,0.887845
4.35657,0.900658
4.37593,0.906073
4.38894,0.926884
4.41078,0.939857
4.43112,0.950031
4.44577,0.959386
4.46168,0.96966
4.4776,0.975493
4.48761,0.982733
4.49647,0.992451
4.50699,1.00775
4.52155,1.01938
4.5361,1.02582
4.55114,1.0538
4.57319,1.06896
4.59326,1.08111
4.61332,1.10084
4.63303,1.12263
4.65647,1.14705
4.68539,1.16989
4.71269,1.19474
4.74199,1.21184
4.7656,1.22971
4.78858,1.25641
4.81653,1.27851
4.84425,1.3125
4.87892,1.32087
4.89944,1.33382
4.91675,1.34873
4.93407,1.36757
4.95138,1.38744
4.97148,1.40203
4.98939,1.42176
5.00891,1.44485
5.03022,1.48485
5.06706,1.51063
5.09989,1.53016
5.12697,1.57498
5.16697,1.60091
5.20295,1.66905
5.24295,1.68879
5.28295,1.69749
5.31826,1.7168
5.3464,1.73699
5.37153,1.78422
5.41153,1.79815
5.44079,1.85849
5.48079,2.00518
