s,dv2o
23.2423,1.99317
23.2801,1.98761
23.3021,1.9769
23.3239,1.96304
23.347,1.95502
23.3639,1.94443
23.3824,1.93833
23.3957,1.9273
23.4134,1.91676
23.4296,1.90389
23.4496,1.89113
23.4716,1.88281
23.4877,1.87462
23.5047,1.86948
23.5161,1.85146
23.535,1.83875
23.5606,1.83057
23.5862,1.79824
23.6262,1.7936
23.651,1.78553
23.6597,1.76515
23.6684,1.739
23.7084,1.71827
23.7484,1.71291
23.7884,1.7003
23.8284,1.68731
23.8612,1.67941
23.8847,1.66904
23.9061,1.65891
23.9267,1.64595
23.9503,1.63571
23.9712,1.62563
23.9916,1.61236
24.0149,1.60151
24.037,1.59543
24.0543,1.58793
24.0698,1.58375
24.078,1.57364
24.0947,1.56638
24.1097,1.5622
24.1215,1.54916
24.1397,1.53971
24.1585,1.53318
24.1743,1.52645
24.1879,1.51432
24.1999,1.50126
24.2277,1.49282
24.2509,1.48662
24.272,1.4801
24.2862,1.47353
24.3011,1.46747
24.3148,1.45364
24.3396,1.44757
24.3569,1.44176
24.3716,1.43604
24.3798,1.42753
24.3879,1.40649
24.4279,1.40092
24.4568,1.39777
24.4721,1.39249
24.4873,1.37285
24.5236,1.36519
24.551,1.35752
24.5751,1.35488
24.591,1.34758
24.609,1.34273
24.6251,1.33714
24.6411,1.33096
24.658,1.32667
24.673,1.31568
24.6963,1.30716
24.7214,1.2989
24.7467,1.26918
24.7867,1.26779
24.8267,1.26437
24.8604,1.26306
24.8804,1.25631
24.9033,1.25319
24.9221,1.25019
24.9389,1.2493
24.951,1.24646
24.9638,1.24408
24.9767,1.24313
24.987,1.23464
25.0162,1.22984
25.0358,1.21798
25.0758,1.21388
25.1121,1.21247
25.1365,1.20315
25.1765,1.20346
25.2034,1.19949
25.233,1.18883
25.273,1.18861
25.313,1.18678
25.3472,1.1877
25.3676,1.18788
25.3848,1.18652
25.4163,1.18391
25.4424,1.18381
25.4655,1.18396
25.488,1.1818
25.5257,1.18366
25.5473,1.18553
25.5626,1.18716
25.5778,1.18743
25.61,1.1898
25.6297,1.19219
25.6463,1.19457
25.6739,1.19745
25.6979,1.20057
25.72,1.20388
25.741,1.20719
25.762,1.21295
25.7995,1.21636
25.8205,1.2207
25.8414,1.22524
25.8619,1.23231
25.8723,1.2424
25.9123,1.24729
25.9523,1.25414
25.9923,1.25936
26.021,1.26413
26.0405,1.26819
26.0531,1.27264
26.0628,1.27847
26.0736,1.28619
26.0926,1.29315
26.1121,1.30044
26.1322,1.3054
26.1433,1.31166
26.1587,1.31674
26.1698,1.32315
26.1824,1.32958
26.1952,1.33474
26.2051,1.34021
26.214,1.34843
26.2278,1.36146
26.2537,1.36858
26.2736,1.37584
26.2926,1.38505
26.3106,1.39605
26.3326,1.40196
26.3475,1.40968
26.3621,1.41579
26.3737,1.42923
26.394,1.44295
26.4213,1.45314
26.4451,1.46374
26.4675,1.47622
26.492,1.48906
26.5175,1.51739
26.5575,1.52427
26.5975,1.58173
26.6375,1.59403
26.6775,1.60422
26.7175,1.61249
26.7575,1.62225
26.7972,1.62366
26.8067,1.64194
26.8301,1.64913
26.8459,1.66564
26.8652,1.68083
26.8923,1.69583
26.9191,1.70609
26.9399,1.74099
26.9799,1.74948
27.0105,1.76032
27.0324,1.78671
27.0673,1.80133
27.0943,1.80956
27.1044,1.83074
27.1444,1.83918
27.1844,1.851
0.00855444,1.86957
0.0165544,1.88484
0.0245544,1.89325
0.0325544,1.90269
0.0405544,1.92206
0.0488046,1.93445
0.0593469,1.9431
0.0680401,1.95568
0.0789717,1.968
0.0899032,1.98802
0.108704,1.9971
0.12223,2.0062
