s,dv2o
11.2654,1.97864
11.2898,1.95219
11.3189,1.91145
11.3587,1.90593
11.3842,1.8424
11.4242,1.84453
11.4549,1.84316
11.4744,1.83
11.4949,1.8168
11.514,1.81106
11.5304,1.79696
11.5488,1.79566
11.5624,1.79017
11.5753,1.78862
11.586,1.78268
11.5971,1.78173
11.6068,1.76987
11.6204,1.76942
11.631,1.75099
11.6497,1.74462
11.6642,1.72149
11.6861,1.70767
11.7068,1.70891
11.7206,1.69904
11.7361,1.69312
11.7497,1.6862
11.7631,1.6767
11.7774,1.67091
11.791,1.63931
11.816,1.63373
11.835,1.61401
11.8573,1.60685
11.8757,1.57573
11.9034,1.52175
11.9434,1.51213
11.9761,1.51423
11.9948,1.50483
12.0121,1.48701
12.0325,1.47283
12.0535,1.45033
12.0772,1.4217
12.0971,1.39282
12.1355,1.38687
12.16,1.37931
12.1821,1.33981
12.2128,1.32846
12.2375,1.32107
12.2635,1.31249
12.2896,1.28375
12.3156,1.23979
12.3465,1.22804
12.3708,1.2191
12.3909,1.1945
12.4163,1.17863
12.4402,1.16584
12.4621,1.1628
12.4783,1.15522
12.4934,1.14815
12.5079,1.14944
12.5181,1.12533
12.5373,1.12249
12.5521,1.11442
12.5667,1.08777
12.5899,1.07571
12.6109,1.04626
12.6393,1.04162
12.6596,1.03299
12.6773,1.03473
12.6983,0.988283
12.725,0.972103
12.7497,0.962424
12.7802,0.940462
12.8,0.937906
12.8155,0.910899
12.8384,0.896824
12.86,0.882166
12.882,0.859649
12.9067,0.825868
12.9405,0.8203
12.9626,0.812586
12.9811,0.812796
12.9958,0.784332
13.0038,0.716833
13.0438,0.658942
13.0838,0.640281
13.1238,0.638269
13.1638,0.632596
13.1953,0.624511
13.2182,0.624464
13.2337,0.622705
13.2458,0.617295
13.2578,0.596059
13.2768,0.596147
13.2901,0.565013
13.3147,0.532417
13.3472,0.425155
13.3872,0.418295
13.4272,0.418715
13.4672,0.411491
13.4993,0.398531
13.525,0.389651
13.5461,0.37907
13.5653,0.380931
13.578,0.369248
13.5925,0.357002
13.6073,0.355716
13.6189,0.351186
13.6295,0.326753
13.6422,0.320561
13.6536,0.316299
13.664,0.310331
13.674,0.299283
13.6845,0.294
13.6946,0.28396
13.7065,0.278222
13.7188,0.282741
13.7268,0.277077
13.737,0.280287
13.745,0.283603
13.753,0.284043
13.761,0.286616
13.769,0.288761
13.777,0.292647
13.785,0.295675
13.793,0.296292
13.801,0.298645
13.809,0.298899
13.8178,0.297444
13.8281,0.296889
13.8391,0.298802
13.8483,0.30152
13.8563,0.300402
13.8643,0.302224
13.8723,0.294612
13.8815,0.29394
13.8903,0.290171
13.9008,0.289913
13.9104,0.288576
13.9202,0.285167
13.9319,0.282319
13.9445,0.282634
13.9555,0.283745
13.9666,0.284785
13.975,0.284278
13.9851,0.287937
13.9931,0.289708
14.0011,0.291664
14.0091,0.294262
14.0171,0.297039
14.0251,0.301241
14.0331,0.305325
14.0411,0.309635
14.0491,0.312919
14.0571,0.314496
14.0651,0.318058
14.0731,0.322409
14.0811,0.326863
14.0891,0.331749
14.0971,0.335859
14.1064,0.340872
14.1144,0.345801
14.1224,0.350755
14.1305,0.355782
14.1385,0.360802
14.1465,0.365796
14.1545,0.370794
14.1625,0.375751
14.1705,0.380609
14.1785,0.38548
14.1865,0.390032
14.1954,0.394578
14.2046,0.399018
14.2133,0.40326
14.2227,0.406974
14.2343,0.410297
14.2475,0.411762
14.2644,0.414889
14.2805,0.41772
14.2944,0.421387
14.3045,0.422977
14.3173,0.423801
14.3322,0.424006
14.3486,0.422105
14.3686,0.419683
14.3913,0.416356
14.4138,0.416332
14.432,0.411748
14.4534,0.405862
14.4769,0.397312
14.5044,0.395906
14.5264,0.38307
14.5548,0.375335
14.5819,0.375578
14.6002,0.36022
14.6286,0.311996
14.6686,0.312733
14.7086,0.309648
14.7467,0.303387
14.7758,0.304009
14.7939,0.300356
14.8109,0.290761
14.8321,0.281155
14.8567,0.281814
14.8728,0.276289
14.8909,0.273451
14.9072,0.271571
14.9218,0.269158
14.9363,0.266796
14.9505,0.260397
14.97,0.258681
14.9873,0.251362
15.0113,0.246601
15.0373,0.235525
15.0773,0.237334
15.1057,0.237243
15.1301,0.239053
15.1467,0.238233
15.1731,0.239831
15.1964,0.242506
15.2364,0.245857
15.2657,0.249436
15.2895,0.252115
15.3052,0.255513
15.321,0.259684
15.3373,0.262432
15.3492,0.267721
15.3667,0.271466
15.3822,0.278089
15.4057,0.283687
15.4308,0.286373
15.4471,0.292825
15.4711,0.298142
15.4953,0.313348
15.5353,0.320156
15.5753,0.321618
15.6153,0.323274
15.6553,0.326209
15.6953,0.327269
15.7295,0.328339
15.7501,0.329573
15.7717,0.330551
15.7955,0.330678
15.8355,0.33105
15.8755,0.329893
15.9155,0.32951
15.9555,0.329251
15.9742,0.32851
15.9922,0.327677
16.0219,0.327044
16.0486,0.326255
16.0747,0.32598
16.0913,0.324952
16.1256,0.324679
16.1606,0.325514
16.2006,0.325827
16.2406,0.32583
16.2618,0.327826
16.2943,0.327747
16.3161,0.327842
16.3329,0.330256
16.3598,0.330812
16.382,0.333694
16.4106,0.334349
16.4327,0.336746
16.458,0.337467
16.4775,0.339245
16.4969,0.345273
16.5342,0.351069
16.5714,0.354902
16.609,0.354558
16.6324,0.358084
16.658,0.362046
16.6853,0.365962
16.7135,0.370111
16.7435,0.380926
16.7735,0.385467
16.8135,0.385111
16.8427,0.384517
16.8625,0.391066
16.8903,0.394118
16.9134,0.450405
16.9534,0.447532
16.9934,0.444642
17.0334,0.441866
17.0734,0.438795
17.1134,0.436014
17.1389,0.432998
17.1519,0.430556
17.1618,0.427403
17.1698,0.427788
17.1778,0.432428
17.1858,0.440955
17.2176,0.447878
17.2511,0.457036
17.2911,0.474734
17.3311,0.473395
17.3683,0.472557
17.3911,0.47795
17.4159,0.496407
17.4552,0.52709
17.4945,0.557955
17.5345,0.562561
17.5745,0.570849
17.6145,0.569402
17.6545,0.574157
17.6945,0.578764
17.7345,0.577622
17.7632,0.582476
17.7874,0.61944
17.8274,0.616597
17.8655,0.618965
17.8922,0.62428
17.9166,0.639857
17.9479,0.658881
17.9792,0.664712
18.0129,0.684513
18.0523,0.68503
18.064,0.693558
18.0949,0.692596
18.1154,0.695182
18.1318,0.698053
18.1476,0.700684
18.1634,0.707228
18.1794,0.706233
18.1926,0.705151
18.2021,0.711302
18.2235,0.734771
18.2473,0.733943
18.2631,0.74319
18.282,0.753362
18.3034,0.778332
18.3366,0.790904
18.3669,0.794818
18.3899,0.803661
18.4109,0.817982
18.4352,0.817497
18.4525,0.841387
18.48,0.866332
18.514,0.871535
18.5389,0.892702
18.5697,0.898175
18.5924,0.903636
18.6115,0.909043
18.6289,0.925901
18.6514,0.93687
18.6736,0.950505
18.6967,0.976215
18.7291,0.9937
18.7581,1.00015
18.7811,1.00689
18.8012,1.01861
18.8223,1.03036
18.8437,1.04269
18.8657,1.0493
18.8852,1.06906
18.9094,1.08801
18.939,1.1006
18.9648,1.10702
18.9861,1.12032
19.0083,1.22762
19.0483,1.23163
19.0883,1.22914
19.1283,1.22968
19.1638,1.23155
19.1875,1.278
19.2113,1.28824
19.2513,1.28881
19.2913,1.30244
19.312,1.32953
19.3328,1.35015
19.3536,1.36089
19.3936,1.35848
19.4253,1.35955
19.4508,1.36862
19.4736,1.37658
19.4963,1.38466
19.5189,1.41301
19.5526,1.52638
19.5926,1.52697
19.6326,1.52935
19.6726,1.53028
19.704,1.56749
19.744,1.56834
19.784,1.56396
19.824,1.55879
19.864,1.57325
19.904,1.57601
19.944,1.58318
19.984,1.58504
20.024,1.58585
20.064,1.61381
20.104,1.61483
20.144,1.62534
20.184,1.62979
20.224,1.63861
20.264,1.70615
20.304,1.73234
20.344,1.74708
20.384,1.74834
20.424,1.88237
20.464,1.92551
20.504,1.91949
20.544,1.92002
20.584,1.94485
20.624,2.00305
